MASTER LIST OF AWESOME
================================================================================
Total items: 5083
================================================================================

Task	Category	Topic
Specific interest expressed in purchasing a condo in the Bahamas.	Real Estate	Oxford Street
The property has significant mold damage due to a burst pipe and is being handled by an estate.	Real Estate	Oxford Street
The property offers unique features (large kitchen island, two high-end bathrooms) not typically found in the neighborhood.	Real Estate	Oxford Street
The property will remain a four-bedroom home to appeal to multi-generational buyers rather than converting a room into a master suite.	Real Estate	Oxford Street
The seller's price expectations are currently unrealistic, but a walkthrough is being arranged.	Real Estate	Oxford Street
Expresses deep affection and a life changed for the better by the dog's presence	Real Estate	Parenting Rules Dog
Marvin, the small white dog, waiting patiently for the day to begin	Real Estate	Parenting Rules Dog
Morning routines with the family dogs	Real Estate	Parenting Rules Dog
Offering a genuine apology for mistakes and inconveniences caused	Real Estate	Parenting Rules Dog
Respecting authority figures who are simply doing their jobs	Real Estate	Parenting Rules Dog
Speaker B reflects on initially not wanting a small white dog	Real Estate	Parenting Rules Dog
Taking full responsibility for one's actions	Real Estate	Parenting Rules Dog
The unexpected bond with Marvin	Real Estate	Parenting Rules Dog
Wyatt’s clever habit of moving to the foot of the bed to avoid being woken up	Real Estate	Parenting Rules Dog
The user is currently in a phase of "purging" unnecessary items, having already cleared out office supplies and two large bags of clothes	Real Estate	Park Stories, Winter
There is a sense of accomplishment and lightness in getting rid of old "shit" and starting fresh	Real Estate	Park Stories, Winter
Offering help to unload the animals if the driver needs assistance	Real Estate	Park Visit Dogs
Specific offerings included a chocolate chip hot cross bun and the "cook yourself" Pixie Bow option.	Real Estate	Pastries Bakery
The speakers are coordinating who is responsible for different parts of the physical space.	Real Estate	Poker Victory Office
Concerns were raised regarding the political climate and the potential for increased tensions compared to past civil unrest.	Real Estate	Politics, Chili, Childhood
Discussion of a recent ICE shooting in Minneapolis	Real Estate	Politics, Chili, Childhood
Mention of local "neighborhood watch" groups and students using whistles and walkie-talkies to alert residents about ICE patrols.	Real Estate	Politics, Chili, Childhood
The speakers discussed the tragic nature of the event involving a mother and the lack of medical intervention allowed at the scene.	Real Estate	Politics, Chili, Childhood
Discussion regarding Donald Trump's recent interests in Greenland and Canada	Real Estate	Politics, Patriots, Ferry
Reports of Canada potentially being a "next target" amidst Greenland standoffs	Real Estate	Politics, Patriots, Ferry
A parallel is drawn between the current political climate and the democratic rise of figures like Hitler to illustrate how significant changes can occur incrementally.	Real Estate	Politics, Religion, Future
Potential drop in Canadian property values by half to align with American markets.	Real Estate	Politics, Religion, Future
Real estate and financial concerns:	Real Estate	Politics, Religion, Future
The conversation centers on the overwhelming nature of current politics, specifically the influence of Donald Trump and the spread of misinformation.	Real Estate	Politics, Religion, Future
Uncertainty regarding licensing for professionals, such as real estate agents, under a new jurisdiction.	Real Estate	Politics, Religion, Future
Collaboration with Patricia for graphics and administrative support	Real Estate	Politics, Trade Agreements,
Coordination with Roger regarding property showings for his specific clients	Real Estate	Politics, Trade Agreements,
Current valuation/offer interest hovering around the $250,000 mark	Real Estate	Politics, Trade Agreements,
Discussion regarding the protocol for her resignation; debate between a formal meeting or just sending a letter	Real Estate	Politics, Trade Agreements,
Emphasis on protecting the employee from high-pressure retention tactics	Real Estate	Politics, Trade Agreements,
Note: MPs originally planned to attend but have been recalled to Ottawa for an emergency national caucus meeting	Real Estate	Politics, Trade Agreements,
Potential ratification of CETA (Canada-European Union Comprehensive Economic and Trade Agreement) as a show of force/solidarity	Real Estate	Politics, Trade Agreements,
Recommendation to strip the structure down to the studs and rebuild as the most cost-effective remedy	Real Estate	Politics, Trade Agreements,
Scheduled for Sunday from 2:00 PM to 4:00 PM in downtown Oshawa	Real Estate	Politics, Trade Agreements,
Significant mold issues identified at a specific property, described as worse than previous "grow-op" listings	Real Estate	Politics, Trade Agreements,
Temporary operations out of the Simcoe Street location (976 Simcoe) while waiting for timeline updates	Real Estate	Politics, Trade Agreements,
Tracy is expected to visit the office to sign paperwork or finalize her transition	Real Estate	Politics, Trade Agreements,
Work in progress on development listings requiring graphics files and printer access	Real Estate	Politics, Trade Agreements,
Key features identified include the garage on the left side and its proximity to a local clinic	Real Estate	Port Hope Property
Sharing these visual memories creates a joyful connection to a specific time and place	Real Estate	Port Hope Property
The conversation revisits the purchase of a bungalow from a seller moving to Oshawa	Real Estate	Port Hope Property
The speakers recall specific details about a white house near the south corner of Marica	Real Estate	Port Hope Property
There is a sense of relief in how the buyer and seller bypassed a struggling agent to work together directly	Real Estate	Port Hope Property
Brett's Homes	Real Estate	Prioritizing Real Estate
Contact the owner of the land at this corner immediately.	Real Estate	Prioritizing Real Estate
Contact the property owners where the open shipping container is located.	Real Estate	Prioritizing Real Estate
Dino's Property	Real Estate	Prioritizing Real Estate
Focus on Maria's building where Tav Pools is located.	Real Estate	Prioritizing Real Estate
Focus on Reflection Pools at the corner of Highway Two and Trulls Road.	Real Estate	Prioritizing Real Estate
Follow up with both the other agents and the property owner.	Real Estate	Prioritizing Real Estate
Get in touch regarding the location at Town Line and Beatrice.	Real Estate	Prioritizing Real Estate
Leslie Glasbell	Real Estate	Prioritizing Real Estate
Obtain pricing for properties on Oshawa Boulevard North.	Real Estate	Prioritizing Real Estate
Wentworth Property	Real Estate	Prioritizing Real Estate
Despite the snowy conditions, there was an enthusiastic desire to visit the site and see the progress of the flip	Real Estate	Property Flips Oxford
Discussion centered on a property flip in Oxford which sparked interest from a colleague	Real Estate	Property Flips Oxford
Specific instructions were provided to go through Patricia for certain property matters	Real Estate	Property Flips Oxford
The user feels an empathetic interest in how others in the professional circle will manage their next steps	Real Estate	Property Flips Oxford
The user shared a joyful moment laughing about a communication mix-up regarding a sent address	Real Estate	Property Flips Oxford
There is a sense of curious anticipation regarding Jay's (or Jason's) future decisions for a property	Real Estate	Property Flips Oxford
This clarifies roles and ensures the right person is handling the direct communication for that specific asset	Real Estate	Property Flips Oxford
This lightheartedness shows a positive relationship and a good sense of humor amidst property management tasks	Real Estate	Property Flips Oxford
A high, private fence (approx. 6.5 feet) has been installed; fence post caps are still pending completion.	Real Estate	Property Inspections Development
Asking Price: $2.5 million.	Real Estate	Property Inspections Development
Bathrooms are being tiled; the master bath will feature a standing shower instead of a tub.	Real Estate	Property Inspections Development
Concern that a home inspector will flag this during the sale process.	Real Estate	Property Inspections Development
Contact Information: Stuart (905-442-2627 or stuart@thefoundation.ca).	Real Estate	Property Inspections Development
Current state is "full construction," making it difficult to photograph effectively.	Real Estate	Property Inspections Development
Currently zoned for up to 16 stories (commercial or residential).	Real Estate	Property Inspections Development
Does not require rezoning; only needs site plan approvals.	Real Estate	Property Inspections Development
Driveway has been extended with new concrete work.	Real Estate	Property Inspections Development
Evaluate the land value compared to raw agricultural land.	Real Estate	Property Inspections Development
Flooring status: Current parquet may be ripped up to accommodate new hardwood as it is currently unstable.	Real Estate	Property Inspections Development
Fresh sod has been laid in the backyard.	Real Estate	Property Inspections Development
Further investigation is needed to see if remediation was performed by the contractor (Adrian).	Real Estate	Property Inspections Development
Intent is to secure a buyer before construction finishes to avoid carrying costs.	Real Estate	Property Inspections Development
Investigate potential interest from Medallion Corp, who owns neighboring rental properties.	Real Estate	Property Inspections Development
Kitchen installation is scheduled for next week, featuring a 10-foot island with pendant lights.	Real Estate	Property Inspections Development
Location is across from major retail (Shoppers, FreshCo) and near the GM plant.	Real Estate	Property Inspections Development
Lot Size: 200 x 140 feet.	Real Estate	Property Inspections Development
Main floor is being converted to a fully open-concept layout.	Real Estate	Property Inspections Development
New ductless heat pump system is on-site; the condenser is ready for installation.	Real Estate	Property Inspections Development
New stone work on the front steps to enhance curb appeal.	Real Estate	Property Inspections Development
Owner: Amir (647-975-5666).	Real Estate	Property Inspections Development
Property features a full electric heat pump setup.	Real Estate	Property Inspections Development
Recessed lighting has been installed.	Real Estate	Property Inspections Development
Target audience: Buyers looking for a top-to-bottom remodel with high-end finishes.	Real Estate	Property Inspections Development
The property is being marketed as an exclusive listing and will not be posted on MLS.	Real Estate	Property Inspections Development
Visible mold was noted on the roof sheeting before it was closed in.	Real Estate	Property Inspections Development
Address: 855 Grandview Street North.	Real Estate	Property Negotiation Medical
Emphasize growth opportunities to justify the asking price.	Real Estate	Property Negotiation Medical
Highlight the potential for increasing sales by introducing beer and wine licenses.	Real Estate	Property Negotiation Medical
Phone Number: 905-444-2262 or 905-444-2267.	Real Estate	Property Negotiation Medical
Physician: Dr. DeMello.	Real Estate	Property Negotiation Medical
Stewart proposed a one-month listing agreement at a $700,000 price point.	Real Estate	Property Negotiation Medical
Stewart will follow up with Tony after a medical appointment to remove a cast from his broken wrist.	Real Estate	Property Negotiation Medical
The following contact information was recorded during the administrative transition:	Real Estate	Property Negotiation Medical
The proposal aims to test the market despite Tony's skepticism regarding the property's value.	Real Estate	Property Negotiation Medical
Aiming to restore the property to its intended state through extensive updates	Real Estate	Property Renovation Future
Appreciation for the privacy and solitude of the site	Real Estate	Property Renovation Future
Discussion of a significant renovation project involving a substantial financial investment	Real Estate	Property Renovation Future
Highlighting the lack of neighbors and the presence of many trees	Real Estate	Property Renovation Future
Identification of the property location on Scriven Drive, noted for being a pleasant drive	Real Estate	Property Renovation Future
Joyful reflection on finding a tranquil, secluded spot amidst the upcoming local expansion	Real Estate	Property Renovation Future
Planning for a future fire pit in the natural outdoor space	Real Estate	Property Renovation Future
Positive anticipation regarding the rapid growth and changes expected in the area	Real Estate	Property Renovation Future
Analysis of the northeast corner property for potential townhouse development.	Real Estate	Property Valuations Pool
Building is currently empty; objective is to secure a commercial lease.	Real Estate	Property Valuations Pool
Clarification that formulations are similar; the primary difference is the quantity/volume used (ounces vs. grams/kilograms).	Real Estate	Property Valuations Pool
Contact Ryan Hood regarding new information uploaded to the data room.	Real Estate	Property Valuations Pool
Contact number associated with the owner: 905-240-6468.	Real Estate	Property Valuations Pool
Discussion regarding water treatment scents and chemicals for pools versus hot tubs.	Real Estate	Property Valuations Pool
Estimated value is between $1.5 million and $1.7 million based on recent comparable sales.	Real Estate	Property Valuations Pool
Focus on preparing proper financial books to qualify for commercial purchase.	Real Estate	Property Valuations Pool
Goal is to purchase the building from the landlord (Maria).	Real Estate	Property Valuations Pool
Intent to list Dino's property; strategy involves proactive management of the client's decision-making process.	Real Estate	Property Valuations Pool
Investigation into commercial leasing rates per square foot near Simcoe Street North and Taunton Road in Oshawa.	Real Estate	Property Valuations Pool
Nearby strip mall and Vern Glass properties recently sold for approximately $3.13 million to $3.2 million.	Real Estate	Property Valuations Pool
Potential for 100% Loan-to-Value (LTV) since the user is already a 50% tenant in the building.	Real Estate	Property Valuations Pool
Products like eucalyptus and lavender were noted for being more subtle and high quality.	Real Estate	Property Valuations Pool
Request for Maria’s (landlord) contact information to discuss purchase intentions.	Real Estate	Property Valuations Pool
Requirement to determine the current land value for residential use.	Real Estate	Property Valuations Pool
Strategy involves utilizing BDC (Business Development Bank of Canada) for financing.	Real Estate	Property Valuations Pool
Working with Adam at BDC on a working capital loan.	Real Estate	Property Valuations Pool
"Bank Days"	Real Estate	RE Agent Mentoring
80% of Grade 3s and 92% of Grade 6s met the provincial standards in language.	Real Estate	RE Agent Mentoring
A barn on the property recently burned down, which Stuart noted simplifies the demolition process.	Real Estate	RE Agent Mentoring
Acknowledgment of a "recession" feel in the market, making it difficult to market properties at outdated price points.	Real Estate	RE Agent Mentoring
Aiming to improve the overall quality of agents within the industry	Real Estate	RE Agent Mentoring
Being available to "shoot the shit" about the real estate business with anyone interested	Real Estate	RE Agent Mentoring
Benefit: Shared referrals (mortgage leads for the bank, real estate leads for the agent)	Real Estate	RE Agent Mentoring
Career Goal: Transitioning into real estate, specifically aiming for commercial real estate in the long term	Real Estate	RE Agent Mentoring
Chattels (fridges, equipment) are included in the price, but inventory is typically an additional cost.	Real Estate	RE Agent Mentoring
Color-coding systems for family vs. work appointments to maintain a "big picture" view.	Real Estate	RE Agent Mentoring
Commercial Partnerships: New agents should partner with experienced commercial realtors on their first few deals rather than referring them out, allowing them to learn while keeping equity in the deal	Real Estate	RE Agent Mentoring
Current 2025 appraisals are coming in lower than previous expectations.	Real Estate	RE Agent Mentoring
Current role: IT Architect for Canadian National Railways (Digital infrastructure/backend systems)	Real Estate	RE Agent Mentoring
Definition: Active searching for specific property types based on a current client's unique needs	Real Estate	RE Agent Mentoring
Definition: Concentrating on a specific geographic neighborhood (e.g., a small community)	Real Estate	RE Agent Mentoring
Definition: Passive lead generation, such as social media posts or open houses, waiting for clients to reach out	Real Estate	RE Agent Mentoring
Discussion on the value of lease listings; doing 37 leases a year can generate significant revenue ($37,000+) that other agents often overlook.	Real Estate	RE Agent Mentoring
Discussion regarding a seller holding onto properties based on 2022 market values.	Real Estate	RE Agent Mentoring
Duty Day: Scheduled for the following day.	Real Estate	RE Agent Mentoring
Essential team members include mobile mortgage reps, lawyers, home inspectors, movers, and stagers	Real Estate	RE Agent Mentoring
Establishing these relationships early provides credibility to new agents who lack an individual track record	Real Estate	RE Agent Mentoring
Experience: 28 years in both residential and commercial real estate	Real Estate	RE Agent Mentoring
Expressing a desire to spend more time with new agents to ensure they are well-prepared	Real Estate	RE Agent Mentoring
Extending an invitation to both new and relatively new agents for casual discussions	Real Estate	RE Agent Mentoring
Failure to track leads results in significant lost revenue (estimated at nearly $500k over 15 years in Stuart's example)	Real Estate	RE Agent Mentoring
FinTRAC: Identification and compliance paperwork should be completed at the time of signing the listing or buyer representation agreement	Real Estate	RE Agent Mentoring
Finding Joy: Stuart expressed great excitement about "solving the mystery" of the land ownership and felt proud of his recent political engagement.	Real Estate	RE Agent Mentoring
Focus on pursuing estate sales and lease listings despite the research time involved (approx. 2 hours of research per package).	Real Estate	RE Agent Mentoring
Goal: To be one of the top choices when residents decide to sell	Real Estate	RE Agent Mentoring
He also discussed an $11 million development deal involving 59 townhomes.	Real Estate	RE Agent Mentoring
He discovered that the "Skylark Group" (a front for Broccolini Construction) has been quietly purchasing surrounding parcels over the last few months.	Real Estate	RE Agent Mentoring
He is practicing positive affirmations to stop "self-sabotage talk," intentionally telling himself, "I'm actually a really fucking good realtor," rather than his old self-deprecating taglines.	Real Estate	RE Agent Mentoring
He successfully negotiated a 5% commission for this deal, which would result in a substantial $150,000 payout for him.	Real Estate	RE Agent Mentoring
Importance: The database is the primary value of a real estate business for future resale or consistent income	Real Estate	RE Agent Mentoring
Integrity: Avoid "shady" tactics (e.g., hiding property defects); transparency builds long-term trust and reduces litigation risk	Real Estate	RE Agent Mentoring
Key Questions for Owner: Verification of accurate income reporting and actual cash flow, as this will drastically affect the final sale price.	Real Estate	RE Agent Mentoring
Leverage: Use junior agents or partners for tasks like showings or hosting open houses to free up time for high-value activities	Real Estate	RE Agent Mentoring
Meeting scheduled with a new agent in Whitby to discuss career starts.	Real Estate	RE Agent Mentoring
Offering practical suggestions on how to effectively start a career in real estate	Real Estate	RE Agent Mentoring
One speaker expressed interest in moving to Grade 8 or potentially taking on a gym/physical education role next year.	Real Estate	RE Agent Mentoring
One speaker noted their enjoyment of coaching volleyball and seeing the improvement in the students' skills through extra practice.	Real Estate	RE Agent Mentoring
Potential to delegate showing duties for lease listings to new agents while retaining the listing side.	Real Estate	RE Agent Mentoring
Primary Goal: Open houses are marketing tools for the agent to find new clients, not necessarily to sell the specific property	Real Estate	RE Agent Mentoring
Professional Philosophy: Relationship-based and "flippant" regarding traditional structure, but focused on high-level negotiation and fiduciary duty	Real Estate	RE Agent Mentoring
Safety and Registration: While some agents insist on registration for security/tracking, others prioritize rapport-building and may be more flexible with sign-in sheets	Real Estate	RE Agent Mentoring
Sharing a critique of certain office environments that do not support agent growth	Real Estate	RE Agent Mentoring
Showing a genuine openness to sit down and share professional experiences with peers	Real Estate	RE Agent Mentoring
Site Visit: Scheduled for Thursday at 12:00 PM to view the store/building.	Real Estate	RE Agent Mentoring
Strategy to maintain a professional "pretty package" for presentations to secure listings against competitors.	Real Estate	RE Agent Mentoring
Strategy: Building relationships with branch managers and mobile mortgage reps	Real Estate	RE Agent Mentoring
Strategy: Starting in residential real estate to build a foundation before moving to commercial in approximately five years	Real Estate	RE Agent Mentoring
Stuart is actively researching a prime piece of land at the corner of Winchester and Harmony.	Real Estate	RE Agent Mentoring
Stuart is feeling a surge in professional confidence after moving to a smaller brokerage where his expertise is more highly valued.	Real Estate	RE Agent Mentoring
Stuart plans to contact the owner’s stepchildren to facilitate a deal, potentially earning a significant commission.	Real Estate	RE Agent Mentoring
Stuart successfully contacted a mysterious property owner regarding an open shipping container on Hillcroft, using the opportunity to pitch future development deals.	Real Estate	RE Agent Mentoring
TRESA Regulations: Guidance on designated representation; contracts should ideally be signed before providing specific advice or taking buyers through homes	Real Estate	RE Agent Mentoring
Tactic: Hosting "realtor days" in bank branches to answer consumer questions and gather leads via surveys	Real Estate	RE Agent Mentoring
Tactic: Use "15-15-30" door knocking (15 houses on each side, 30 across the street) to invite neighbors, who are often the best future leads	Real Estate	RE Agent Mentoring
Tactics: Consistent door knocking, distributing relevant neighborhood data, and becoming the area specialist	Real Estate	RE Agent Mentoring
The building is estimated to be worth approximately $500,000.	Real Estate	RE Agent Mentoring
The business itself is valued between $60,000 and $80,000, based largely on net operating income.	Real Estate	RE Agent Mentoring
The land is approximately 8.2 acres and could be worth between $20 million and $24 million due to its strategic location.	Real Estate	RE Agent Mentoring
The property is a "legal non-conforming" retail spot in a residential neighborhood, which adds unique value due to grandfathered zoning.	Real Estate	RE Agent Mentoring
The speakers discussed recent EQAO (standardized testing) scores, which were exceptionally high.	Real Estate	RE Agent Mentoring
There was a discussion about the shift in teaching methods, specifically moving toward phonics-based learning in early grades.	Real Estate	RE Agent Mentoring
These results were achieved despite some students having severe learning challenges, highlighting the effectiveness of the teaching staff.	Real Estate	RE Agent Mentoring
They discussed local news, including the arrest of suspects in a massive $20 million gold heist from Pearson Airport.	Real Estate	RE Agent Mentoring
Through diligent detective work involving obituaries and title searches, he located a potential holdout named Alex Lahota.	Real Estate	RE Agent Mentoring
Use of large wall-mounted boards for long-term project tracking (3-week lead times).	Real Estate	RE Agent Mentoring
Use of post-it notes sized to fit calendar squares for flexibility.	Real Estate	RE Agent Mentoring
Willingness to mentor a new agent by providing a one-hour introductory session	Real Estate	RE Agent Mentoring
Additional details will be shared once the agent reviews his notes and confirms the clients' final decision.	Real Estate	Real Estate Feedback
Bathroom configuration was a primary issue as the client requires a private ensuite.	Real Estate	Real Estate Feedback
Clients ultimately decided against it due to specific layout and space constraints.	Real Estate	Real Estate Feedback
Clients viewed four houses in a single day, with the third house being the one they expressed interest in.	Real Estate	Real Estate Feedback
Potential shortage of bedrooms to accommodate all the children.	Real Estate	Real Estate Feedback
Ryan will follow up with the clients to get more specific feedback on why they did not proceed with the Coverdale house.	Real Estate	Real Estate Feedback
The property was considered a "happy medium" between a country setting with trees and more suburban locations.	Real Estate	Real Estate Feedback
The second house was excluded from consideration because the floors were deemed too shaky.	Real Estate	Real Estate Feedback
Address the lockbox code issue; a previous attempt to access it failed because the code was unknown.	Real Estate	Real Estate Hustle
Client's share of expenses is roughly $32,000.	Real Estate	Real Estate Hustle
Client's specific unit occupies 2,919 sq. ft.	Real Estate	Real Estate Hustle
Development projects totaling approximately $15 million currently in the pipeline.	Real Estate	Real Estate Hustle
Efficiency models: Investigating software for route optimization and automated client messaging based on a successful snow-plowing business model.	Real Estate	Real Estate Hustle
Exploring new investment opportunities and "grinding" to stay on task.	Real Estate	Real Estate Hustle
Financial target: Achieve a $1 million valuation/net worth by the end of the year.	Real Estate	Real Estate Hustle
Five-plex listing and other retail-focused development projects are active for January.	Real Estate	Real Estate Hustle
Freestanding building in a residential neighborhood.	Real Estate	Real Estate Hustle
Monthly rental income target is $12,000.	Real Estate	Real Estate Hustle
Multiplex building listed in Bancroft; requires a two-hour commute.	Real Estate	Real Estate Hustle
Notify Patricia Begley of a delay; Bancroft weather and road conditions will push the Oshawa return to approximately 2 PM.	Real Estate	Real Estate Hustle
Owner also operates a similar property in Harmony.	Real Estate	Real Estate Hustle
Potential for U-Haul rental integration if parking capacity allows.	Real Estate	Real Estate Hustle
Real estate commissions.	Real Estate	Real Estate Hustle
Revenue diversification:	Real Estate	Real Estate Hustle
Schedule a meeting with Dino for the following week once pressing tasks are cleared.	Real Estate	Real Estate Hustle
Send comparable sold listings to the client (email: steward@thefoundation.ca) to provide accurate market data.	Real Estate	Real Estate Hustle
Total annual expenses for the plaza are approximately $69,000.	Real Estate	Real Estate Hustle
Total plaza square footage is 6,318 sq. ft.	Real Estate	Real Estate Hustle
1440 Gord Vinson: 59-unit site plan that is nearly approved, priced in the $8 million range	Real Estate	Real Estate Leads
317 Glidden Property	Real Estate	Real Estate Leads
Action: Follow up with Brett to discuss options and potential management/utilization of the vacant units.	Real Estate	Real Estate Leads
Both parties have active networks of developers and investors looking for buildable sites	Real Estate	Real Estate Leads
Bruce deals primarily with raw land	Real Estate	Real Estate Leads
Business Structure	Real Estate	Real Estate Leads
Career context	Real Estate	Real Estate Leads
Coffee with Bruce Snowden scheduled for next week; Tuesday morning specifically noted for a meeting with Roger Govea.	Real Estate	Roger (RE Client)
Commitment to communicate more frequently to match pocket listings with developers	Real Estate	Real Estate Leads
Connection with Bruce Snowden	Real Estate	Real Estate Leads
Contact: Established connection with Fawas to get back in touch with his father (the primary contact from the previous year).	Real Estate	Real Estate Leads
Date: Monday, January 12th at 10:00 AM	Real Estate	Real Estate Leads
Discussed sharing "pocket listings" to match developers with available opportunities	Real Estate	Real Estate Leads
Established a professional relationship focused on real estate and land development	Real Estate	Real Estate Leads
Evaluating the possibility of installing an external door to facilitate pizza production and delivery throughout the week.	Real Estate	Real Estate Leads
Exchange of email addresses to share listing details and site plans	Real Estate	Real Estate Leads
Goal to meet with industry contacts at least once a week to foster networking	Real Estate	Real Estate Leads
High demand for site-plan-approved land ready for construction	Real Estate	Real Estate Leads
Identified as owned by the individual who owns 504 Drew Street.	Real Estate	Real Estate Leads
Inquiry made regarding Bruce's team structure, specifically if he operates with his daughter	Real Estate	Real Estate Leads
Location: Coffee Culture at Wilson and Rossland	Real Estate	Real Estate Leads
Market Demand	Real Estate	Real Estate Leads
Noted a surplus of buyers and developers relative to available inventory	Real Estate	Real Estate Leads
Observed two units still sitting empty.	Real Estate	Real Estate Leads
Occupancy: Owner's son (Fawas) and family are currently living in the house.	Real Estate	Real Estate Leads
Ongoing Information Exchange	Real Estate	Real Estate Leads
Plan to reach out to the acquisitions lead at Medallion Corp.	Real Estate	Real Estate Leads
Priority: High. Need to contact the owner immediately to preempt potential arrangements with Broccolini (Skylark).	Real Estate	Real Estate Leads
Property Listings and Development Sites	Real Estate	Real Estate Leads
Salina property: Briefly discussed specific address details for a potential lead	Real Estate	Real Estate Leads
Scheduled In-person Meeting	Real Estate	Real Estate Leads
Simcoe North (just north of Taunton): Two 6-story apartment buildings on a 2.5-acre site on the east side	Real Estate	Real Estate Leads
Status: Renovations are nearly complete (cleaning windows and doors remaining).	Real Estate	Real Estate Leads
Strategy: Leverage higher potential value for the property compared to competitors.	Real Estate	Real Estate Leads
A "hard line" for a quick exit was discussed at $680,000.	Real Estate	Real Estate Listings
Basement work is progressing but currently difficult to access due to construction activity.	Real Estate	Real Estate Listings
Concerns were raised regarding foot traffic bringing mud and dirt into the newly finished home.	Real Estate	Real Estate Listings
Extensive sanding is underway, creating significant dust throughout the house.	Real Estate	Real Estate Listings
Increased buyer activity is noted, but there is a lack of recent sales data for high-end finishes in this specific property type (4-bedroom backsplit).	Real Estate	Real Estate Listings
Interior casing and door installation are scheduled for the end of this week.	Real Estate	Real Estate Listings
Landscaping (garden beds) will not be completed this winter due to severe weather conditions.	Real Estate	Real Estate Listings
MLS Launch: Monday, the 16th.	Real Estate	Real Estate Listings
Open houses are considered primarily a marketing tool for the agent rather than a guaranteed way to find the buyer.	Real Estate	Real Estate Listings
Option 1: 4.5% total commission if the agent handles full staging.	Real Estate	Real Estate Listings
Option 2: 4% total commission (1.5% for listing agent, 2.5% for buying agent) if the owners forgo physical staging or handle the expense themselves.	Real Estate	Real Estate Listings
Photography: Targeted for the weekend prior to the 16th to allow for virtual staging edits.	Real Estate	Real Estate Listings
Plans include pressure washing the front and cleaning up snow/ice once the weather permits.	Real Estate	Real Estate Listings
Plumbing fixture touch-ups are slated for the following Monday.	Real Estate	Real Estate Listings
Quick Sale/Sweet Spot: $650,000 (noted as perhaps too low for the owners' requirements).	Real Estate	Real Estate Listings
Ready for Market: Saturday, the 14th.	Real Estate	Real Estate Listings
Recommended List Price: $685,000 – $689,000 to remain competitive with local listings.	Real Estate	Real Estate Listings
Testing the Market: $699,000.	Real Estate	Real Estate Listings
The "massive island" has been installed in the kitchen.	Real Estate	Real Estate Listings
The agent estimates a realistic closing price of approximately $675,000.	Real Estate	Real Estate Listings
The project is expected to be fully wrapped up and ready for detailing by the following Friday.	Real Estate	Real Estate Listings
The team decided against full physical staging to avoid potential wall damage and high costs.	Real Estate	Real Estate Listings
Virtual Staging: Will be used to help potential buyers define the space in photos without the risk of moving furniture in and out.	Real Estate	Real Estate Listings
A "basement lounge" area is being utilized for storage and equipment (air conditioning, couches).	Real Estate	Real Estate Logistics
A list of tenants and their phone numbers is being compiled to facilitate showing notifications.	Real Estate	Real Estate Logistics
A tenant notice (N12) needs to be served at a property in Curtis (Catterson) following a firm deal.	Real Estate	Tenant Management
Available for a flip at $350,000 plus commissions.	Real Estate	Real Estate Logistics
Complications arose when Rosemary (a former colleague) involved herself by driving the lead to City Hall and calling Patricia while the lead was in the car.	Real Estate	Patricia
Connor and Angela: Reliable payers who are often early with rent.	Real Estate	Real Estate Logistics
Direct communication with tenants is preferred to avoid involving agents in minor logistical issues.	Real Estate	Real Estate Logistics
Discussion of multiple units including 7 units on Gibbon and 5 units in Simcoe.	Real Estate	Real Estate Logistics
Discussion regarding a lawyer's requirement for a timestamped record of service.	Real Estate	Real Estate Logistics
Discussion regarding the quality of document packages being "half-assed" or incomplete, causing delays in processing deals.	Real Estate	Real Estate Logistics
Emphasis on following "the book" by serving notices both digitally and in person to ensure certified service.	Real Estate	Real Estate Logistics
Interpersonal Issues: Coordination with Angela has been difficult; the landlord prefers communicating directly with Connor regarding maintenance and logistics.	Real Estate	Real Estate Logistics
Located in a desirable neighborhood; described as a "boxy" style or "shoebox" house but well-finished.	Real Estate	Real Estate Logistics
Lockboxes are being coordinated for realtor access to properties.	Real Estate	Real Estate Logistics
Maintenance History: A past dispute occurred regarding a replacement fridge that was moved to a shed after it allegedly stopped working.	Real Estate	Real Estate Logistics
Marketing materials and agreements are scheduled to be finalized by Monday.	Real Estate	Real Estate Logistics
New codes need to be set for the Century locks being placed on-site.	Real Estate	Real Estate Logistics
Patricia expressed frustration with management shifting more administrative tasks (like serving notices and document prep) onto her plate.	Real Estate	Patricia
Patricia reported a significant leak from a bathtub through the dining room ceiling.	Real Estate	Patricia
Patricia shared a long-standing issue with a difficult lead named Ava who frequently requests room rentals and demands immediate attention.	Real Estate	Patricia
Possession is targetted for the end of March; tenants are entitled to one month's compensation and return of last month's rent.	Real Estate	Real Estate Logistics
Preference for the Coaster model is due to its straight walls and high ceiling, making it ideal for custom builds compared to standard RVs.	Real Estate	Real Estate Logistics
Recruitment video was filmed recently to assist with office growth.	Real Estate	Real Estate Logistics
Required cutting through drywall and insulation to find a leaking drain pipe; noted presence of black mold and soaked plywood.	Real Estate	Mold Remediation Property
Scheduled meeting with "Tony" for Tuesday; window of availability is after 1:00 PM or early morning around 9:00 AM.	Real Estate	Real Estate Logistics
Sign installation for the Flint property is planned for both the front and back of the location.	Real Estate	Real Estate Logistics
Standard sign installation costs approximately $50, for a three-month duration.	Real Estate	Real Estate Logistics
Suggestion to establish a formal property management branch within the office.	Real Estate	Real Estate Logistics
